Mês		B_FI	COOP	B_FC	COOP	B_MC	COOP	B_SC	COOP	M_FC	COOP	M_MC	COOP	M_SC	COOP	A_MC	COOP	A_SC	COOP


Jan		9.06	1	27.18	3	26.94	1	19.98	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Fev		9.06	1	35.34	2	18.12	2	29.74	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Mar		9.06	1	27.18	3	26.94	1	19.98	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Abr		9.06	1	35.34	2	26.94	1	19.98	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Mai		8.48	1	46.54	1	34.42	0	43.81	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Jun		8.48	1	46.54	1	34.42	0	34.40	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Jul		19.11	0	55.17	0	34.42	0	34.40	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Ago		8.48	1	46.54	1	34.42	0	43.81	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Set		19.11	0	55.17	0	34.42	0	43.81	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Out		9.06	1	43.50	1	35.76	0	29.74	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Nov		18.70	0	43.50	1	18.12	2	19.98	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Dez		9.06	1	27.18	3	26.94	1	29.74	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Jan		18.70	0	27.18	3	26.94	1	19.98	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Fev		9.06	1	35.34	2	35.76	0	19.98	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Mar		18.70	0	27.18	3	35.76	0	19.98	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Abr		9.06	1	35.34	2	18.12	2	29.74	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Mai		8.48	1	55.17	0	34.42	0	43.81	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Jun		19.11	0	55.17	0	34.42	0	43.81	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Jul		8.48	1	55.17	0	34.42	0	43.81	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Ago		19.11	0	55.17	0	34.42	0	43.81	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0

Jan		26.19	3	100.28	12	39.30	5	53.00	4	0.00	1	8.89	1	0.00	0	0.00	0	0.00	0

Fev		26.19	3	110.58	11	39.30	5	53.00	4	0.00	1	8.89	1	0.00	0	0.00	0	0.00	0

Mar		26.19	3	99.58	11	48.56	4	53.00	4	17.92	0	8.89	1	0.00	0	0.00	0	0.00	0

Abr		26.19	3	89.28	12	48.56	4	45.30	5	17.92	0	8.89	1	0.00	0	0.00	0	0.00	0

Mai		45.74	1	145.40	8	71.14	3	68.30	2	20.00	0	18.70	0	0.00	0	0.00	0	0.00	0

