Mês		B_FI	COOP	B_FC	COOP	B_MC	COOP	B_SC	COOP	M_FC	COOP	M_MC	COOP	M_SC	COOP	A_MC	COOP	A_SC	COOP


Jan		248.10	15	447.17	33	880.92	40	285.00	28	123.20	9	544.50	40	923.52	45	54.75	0	216.26	10

Fev		238.46	16	479.81	29	907.38	37	333.80	23	123.20	9	578.60	36	894.48	49	37.97	2	216.26	10

Mar		238.46	16	498.23	32	907.38	37	275.24	29	52.80	13	587.12	35	858.18	54	37.97	2	224.92	8

Abr		238.46	16	479.81	29	863.28	42	363.08	20	123.20	9	587.12	35	909.00	47	29.58	3	224.92	8

Mai		295.01	10	628.75	5	1142.49	5	471.42	14	286.20	1	818.80	15	1266.00	13	25.44	3	241.86	2

Jun		295.01	10	604.09	9	1097.49	10	424.37	19	267.12	2	831.68	14	1228.80	17	48.88	1	241.86	2

Jul		337.53	6	628.75	5	1124.49	7	424.37	19	286.20	1	793.04	17	1154.40	25	37.16	2	265.30	0

Ago		305.64	9	623.81	9	1133.49	6	452.60	16	228.96	4	805.92	16	1182.30	22	25.44	3	265.30	0

Set		295.01	10	657.10	4	1115.49	8	490.24	12	248.04	3	767.28	19	1191.60	21	48.88	1	253.58	1

Out		286.66	11	460.92	30	889.74	39	285.00	28	140.80	8	570.07	37	858.18	54	46.36	1	224.92	8

Nov		248.10	15	506.39	31	872.10	41	275.24	29	52.80	13	595.65	34	894.48	49	37.97	2	207.60	12

Dez		248.10	15	474.21	31	828.00	46	304.52	26	105.60	10	595.65	34	858.18	54	46.36	1	203.27	13

Jan		248.10	15	501.26	29	872.10	41	333.80	23	88.00	11	604.17	33	865.44	53	46.36	1	207.60	12

Fev		219.18	18	493.10	30	933.84	34	294.76	27	88.00	11	595.65	34	887.22	50	54.75	0	224.92	8

Mar		238.46	16	530.87	28	986.76	28	285.00	28	52.80	13	595.65	34	872.70	52	29.58	3	211.93	11

Abr		296.30	10	522.71	29	889.74	39	314.28	25	52.80	13	570.07	37	909.00	47	54.75	0	216.26	10

Mai		326.90	7	636.15	3	1115.49	8	480.83	13	305.28	0	805.92	16	1173.00	23	37.16	2	218.42	4

Jun		305.64	9	633.67	9	1106.49	9	452.60	16	209.88	5	908.96	8	1163.70	24	37.16	2	265.30	0

Jul		284.38	11	676.82	4	1079.49	12	499.65	11	209.88	5	857.44	12	1219.50	18	37.16	2	230.14	3

Ago		348.16	5	668.19	5	1115.49	8	433.78	18	209.88	5	857.44	12	1219.50	18	37.16	2	230.14	3

Set		316.27	8	622.58	8	1097.49	10	433.78	18	248.04	3	831.68	14	1210.20	19	25.44	3	265.30	0

Out		228.82	17	455.33	32	898.56	38	304.52	26	123.20	9	553.03	39	872.70	52	54.75	0	211.93	11

Nov		257.74	14	506.85	27	907.38	37	275.24	29	105.60	10	535.97	41	909.00	47	37.97	2	211.93	11

Dez		209.54	19	490.53	29	907.38	37	343.56	22	105.60	10	544.50	40	894.48	49	46.36	1	216.26	10

Jan		228.82	17	477.24	28	880.92	40	285.00	28	140.80	8	527.45	42	872.70	52	46.36	1	224.92	8

